Year;Month;Municipality;Municipality Code;Connection Power;Completed Processes
2023;04;Salvaterra de Magos;1415;15.2;7
2023;04;Arruda dos Vinhos;1102;12.63;3
2023;04;Moita;1506;5.87;2
2023;04;Olhão;0810;2.16;1
2023;04;Vidigueira;0214;4.87;2
2023;04;Torres Vedras;1113;0.0;1
2023;04;Torres Vedras;1113;23.96;12
2023;04;Torres Vedras;1113;8.28;4
2023;04;Idanha-a-Nova;0505;0.0;4
2023;04;Celorico de Basto;0305;0.0;4
2023;04;Valença;1608;30.0;1
2023;04;Beja;0205;30.0;1
2023;04;São João da Madeira;0116;17.16;2
2023;04;Leiria;1009;22.58;7
2023;04;Póvoa de Lanhoso;0309;2.14;3
2023;04;Loulé;0808;3.6;1
2023;04;Esposende;0306;5.89;3
2023;04;Mafra;1109;4.16;2
2023;04;Rio Maior;1414;2.73;1
2023;04;Guarda;0907;18.35;4
2023;04;Santo Tirso;1314;49.0;1
2023;04;Braga;0303;0.0;65
2023;04;Sabugal;0911;2.34;1
2023;04;Torres Novas;1419;6.64;4
2023;04;Figueiró dos Vinhos;1008;1.5;1
2023;04;Mogadouro;0408;2.7;1
2023;04;Soure;0615;2.68;2
2023;04;Soure;0615;10.18;3
2023;04;Trofa;1318;22.78;6
2023;04;Trofa;1318;0.0;4
2023;04;Marco de Canaveses;1307;24.78;9
2023;04;Marco de Canaveses;1307;9.53;6
2023;04;Pombal;1015;0.0;4
2023;04;Viana do Castelo;1609;45.84;22
2023;04;Lousã;0607;3.0;1
2023;04;Sesimbra;1511;20.14;9
2023;04;Aveiro;0105;3.0;1
2023;04;Lagos;0807;11.84;5
2023;04;Paredes de Coura;1605;4.0;1
2023;04;Mirandela;0407;4.75;4
2023;04;Ílhavo;0110;1.1;1
2023;04;Fafe;0307;12.26;4
2023;04;Fafe;0307;6.52;3
2023;04;Amarante;1301;2.52;2
2023;04;Lousada;1305;24.05;7
2023;04;Lousada;1305;4.56;5
2023;04;Torre de Moncorvo;0409;2.73;1
2023;04;Torre de Moncorvo;0409;13.58;2
2023;04;Porto;1312;8.52;5
2023;04;Castelo de Paiva;0106;0.0;1
2023;04;Viana do Alentejo;0713;0.72;1
2023;04;Vila Franca de Xira;1114;1.55;1
2023;04;Cantanhede;0602;200.0;1
2023;04;Penacova;0613;4.72;2
2023;04;Penacova;0613;1.4;1
2023;04;Marinha Grande;1010;30.02;9
2023;04;Almada;1503;28.07;8
2023;04;Almada;1503;9.88;4
2023;04;Arouca;0104;20.58;2
2023;04;Baião;1302;0.0;2
2023;04;São Pedro do Sul;1816;4.2;2
