Distrito,Estimativa(kWh)_AC,Estimativa(kWh)_DC,kWh_per_year,Percentagem conseguida
Aveiro,391145254.6180498,469374305.5416598,8166624429.999999,5.747470200997841
Beja,78204662.5731226,93845595.08774713,4002738720.0,2.3445346212292146
Braga,375888633.7294361,451066360.4753233,7357050139.999999,6.131076340269762
Bragança,36525731.32427558,43830877.5891307,2032402729.9999998,2.156603951675006
Castelo Branco,94300479.0572729,113160574.86872748,2596289540.0,4.358549889190228
Coimbra,157678075.5403348,189213690.64840174,4949051620.000001,3.8232313012003236
Faro,173788831.17552516,208546597.4106302,5649082550.0,3.691689678187305
Guarda,43098288.73627105,51717946.48352526,2427176970.0,2.130785975755417
Leiria,283840112.81195885,340608135.3743506,7227961870.0,4.71236762866806
Lisboa,421502968.6297282,505803562.3556738,10590796050.000002,4.775878602210206
Portalegre,50013273.73411676,60015928.48094011,1500709180.0,3.9991711439347704
Porto,485852995.7655157,583023594.9186188,11345198980.0,5.138945521770116
Santarém,238115349.6152995,285738419.5383594,6660294490.0,4.290176957901442
Setúbal,215224302.1079288,258269162.52951455,6115261910.0,4.223354066114146
Viana do Castelo,74674371.75215349,89609246.10258418,2638820930.0,3.395806251339085
Vila Real,52180162.374766335,62616194.8497196,2600804800.0,2.4075699510289894
Viseu,159043731.44820413,190852477.73784494,5275705330.0,3.6175727376692763
Évora,79965929.06408648,95959114.87690377,2060188709.9999998,4.657782775486804
