Distrito,injecao em 2024 (kWh)
Porto,70295017.37976515
Aveiro,64465049.36554552
Braga,56822460.53999996
Lisboa,53064869.809257224
Leiria,44782636.30873041
Santarém,37224350.01360217
Setúbal,34884903.42427147
Viseu,26466273.474999987
Faro,24352307.31299998
Coimbra,24227931.707964446
Castelo Branco,18268277.53299999
Beja,17465108.92599999
Évora,16006116.936237548
Viana do Castelo,11454095.062999992
Guarda,8188999.224999994
Portalegre,8112347.081999996
Vila Real,7994843.4149999935
Bragança,7361055.947878705
