Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,"8,034","7,882","5,709","3,351","3,498","2,601","2,239","2,292","1,768","1,455","1,219","1,135",957,989
Chile,,,"2,420","3,578","3,125","2,844","2,533","2,260","2,160","2,009","1,224","1,180",921,954
China,"4,211","3,956","3,190","2,462","2,051","1,585","1,435","1,346","1,023",924,748,697,742,671
France,"6,363","6,505","5,753","3,775","2,756","1,814","1,535","1,442","1,249","1,139","1,087",897,"1,200",955
Germany,"4,309","3,428","2,723","2,335","1,861","1,489","1,351","1,296","1,295","1,045",804,769,"1,033",731
India,"5,875","3,620","3,176","3,269","2,218","1,512","1,301","1,298",922,719,685,654,664,711
Italy,"6,024","5,646","2,990","2,368","2,294",,,"1,131","1,012",966,897,871,799,821
Japan,,"6,317","4,558","3,894","3,570","2,583","2,834","2,571","2,444","2,408","2,106","1,878","1,976","1,875"
Mexico,,,"5,187","3,266","2,884","2,020","2,608","2,353","1,723","1,440","1,011",967,993,"1,050"
Netherlands,,,,,,,"1,334","1,800","1,358","1,304","1,291","1,134","1,266",753
Republic of Korea,"10,459","6,865","2,664","3,097","2,572","2,433","2,401","1,839","1,542","1,456","1,091","1,043","1,387","1,205"
Spain,"5,434","3,796","3,127","2,687","2,694","1,390",,,,891,876,905,807,671
Turkey,,,,,,,"1,822","1,461","1,402","1,071",950,899,715,715
United Kingdom,"6,878","5,466","3,234","2,682","2,260","1,778","1,704","1,474","1,584","1,184",972,941,943,933
United States,"5,331","5,224","5,137","4,553","3,356","2,991","2,583","2,178","1,801","1,420","1,287","1,204","1,160","1,109"
Portugal,,,,,,,,,"1,040",986,824,998,1017,723
