Country,2018,2019,2020,2021,2022,2023
South Africa,1 943,1 537,1 344,1 213,1 303,1255
China,1 023,0 924,0 748,697,742,671
India,922,719,685,654,664,711
Japan,2444,2408,2106,1878,1976,1875
Republic of Korea,1542,1456,1091,1043,1387,1205
Greece,2115,,872,806,1216,626
Netherlands,1358,1304,1291,1134,1266,753
Germany,1295,1045,804,769,1033,731
United Kingdom,1584,1184,972,941,943,933
Portugal,1040,986,824,998,1017,723
France,1249,1139,1087,897,1200,955
Italy,1012,966,897,871,799,821
Saudi Arabia,1473,1159,,1034,677,794
Canada,2823,1633,1465,1203,996,1337
Mexico,1723,1440,1011,967,993,1050
United States,1801,1420,1287,1204,1160,1109
Australia,1768,1455,1219,1135,957,989
Brazil,1767,1460,1268,894,761,727
Chile,2160,2009,1224,1180,921,954
