Data;Ano;Mês;ano_mes;Distrito;Concelho;Nível de Tensão;Potência Instalada (kW);Número de Instalações;Energia Injetada (kWh);Código Distrito;Código Concelho;Código Freguesia
2024-08;2024;08;202408;Viseu;Armamar;BTN/BTE;748.68;208;59983.07299999996;18;1801;180100
2024-08;2024;08;202408;Viana do Castelo;Viana do Castelo;BTN/BTE;7090.910000000022;2540;475431.023;16;1609;160900
2024-08;2024;08;202408;Évora;Arraiolos;MT/AT;1052.56;13;27227.0;07;0702;070200
2024-07;2024;07;202407;Évora;Arraiolos;MT/AT;1052.56;13;32814.0;07;0702;070200
2024-08;2024;08;202408;Setúbal;Alcácer do Sal;BTN/BTE;1214.5599999999995;417;86770.93300000005;15;1501;150100
2024-08;2024;08;202408;Faro;Loulé;MT/AT;5227.93;27;50276.25;08;0808;080800
2024-08;2024;08;202408;Évora;Montemor-o-Novo;BTN/BTE;2016.75;549;121969.27799999987;07;0706;070600
2024-08;2024;08;202408;Portalegre;Elvas;BTN/BTE;1702.9199999999992;296;91149.50199999995;12;1207;120700
2024-08;2024;08;202408;Viseu;Sátão;MT/AT;661.61;6;35790.75;18;1817;181700
2024-07;2024;07;202407;Porto;Vila Nova de Gaia;BTN/BTE;11456.920000000024;3841;707159.1869999992;13;1317;131700
2024-07;2024;07;202407;Beja;Castro Verde;BTN/BTE;715.76;275;52584.47799999989;02;0206;020600
2024-07;2024;07;202407;Leiria;Peniche;MT/AT;2189.4;10;30218.105999999974;10;1014;101400
2024-07;2024;07;202407;Aveiro;Castelo de Paiva;BTN/BTE;1440.38;560;89804.06699999995;01;0106;010600
2024-07;2024;07;202407;Santarém;Abrantes;BTN/BTE;2756.8200000000006;942;197942.7960000001;14;1401;140100
2024-07;2024;07;202407;Setúbal;Palmela;MT/AT;6732.360000000001;44;247962.25;15;1508;150800
2024-07;2024;07;202407;Portalegre;Gavião;MT/AT;99.44;3;4696.0;12;1209;120900
2024-07;2024;07;202407;Viseu;São João da Pesqueira;BTN/BTE;554.4300000000001;176;33578.962999999974;18;1815;181500
2024-07;2024;07;202407;Leiria;Óbidos;BTN/BTE;1646.5600000000004;583;88213.62999999986;10;1012;101200
2024-07;2024;07;202407;Faro;Vila Real de Santo António;MT/AT;918.08;7;101.0;08;0816;081600
2024-07;2024;07;202407;Porto;Baião;MT/AT;306.0;6;6024.25;13;1302;130200
2024-07;2024;07;202407;Castelo Branco;Castelo Branco;BTN/BTE;5094.160000000002;1370;368970.6350000002;05;0502;050200
2024-07;2024;07;202407;Aveiro;Ovar;MT/AT;12872.23;51;262634.0;01;0115;011500
2024-07;2024;07;202407;Porto;Maia;BTN/BTE;7560.960000000013;2140;446388.3339999996;13;1306;130600
2024-07;2024;07;202407;Viseu;Mangualde;MT/AT;2292.6400000000003;16;105510.25;18;1806;180600
2024-07;2024;07;202407;Portalegre;Ponte de Sor;MT/AT;1053.82;6;47247.0;12;1213;121300
2024-07;2024;07;202407;Porto;Felgueiras;MT/AT;11839.660000000002;79;533620.75;13;1303;130300
