# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 36.9542
# Longitude (positive East, ISO 19115): -25.0917
# Altitude (m): 184.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2026-03-29
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-01-01T00:00:00.0/2022-01-02T00:00:00.0;4355.7573;3029.2578;2233.2939;795.9639;5835.8037;2753.2480;1677.0458;1076.2023;4403.9443;0.9792
2022-01-02T00:00:00.0/2022-01-03T00:00:00.0;4372.2637;2892.2803;1921.9698;970.3104;4969.1289;1663.6183;628.8040;1034.8143;1733.4635;0.9785
2022-01-03T00:00:00.0/2022-01-04T00:00:00.0;4390.1333;2951.6948;2159.4717;792.2233;5687.1211;637.8084;47.6015;590.2069;290.9576;0.9781
2022-01-04T00:00:00.0/2022-01-05T00:00:00.0;4409.3599;3216.8884;2640.1516;576.7368;7064.6729;2900.7461;1890.4121;1010.3340;5351.7437;0.9778
2022-01-05T00:00:00.0/2022-01-06T00:00:00.0;4429.9272;3183.5872;2541.6741;641.9131;6709.1104;3088.6448;2385.3960;703.2489;5949.0137;0.9774
2022-01-06T00:00:00.0/2022-01-07T00:00:00.0;4451.8115;2955.9995;1874.7805;1081.2190;4801.1309;1812.1689;336.6847;1475.4843;998.6317;0.9774
2022-01-07T00:00:00.0/2022-01-08T00:00:00.0;4475.0635;3145.5181;2239.3523;906.1658;5704.5986;1484.3850;212.9432;1271.4418;445.8553;0.9771
2022-01-08T00:00:00.0/2022-01-09T00:00:00.0;4499.6333;3180.6357;2353.1431;827.4926;6078.6758;1464.1315;80.0452;1384.0863;267.8754;0.9819
2022-01-09T00:00:00.0/2022-01-10T00:00:00.0;4525.5088;3228.9717;2470.6602;758.3115;6348.5977;2657.5046;1548.3452;1109.1594;3939.2290;0.9816
2022-01-10T00:00:00.0/2022-01-11T00:00:00.0;4552.6768;3184.5667;2426.5100;758.0568;6217.4238;2281.7102;1137.2882;1144.4219;2765.4846;0.9812
2022-01-11T00:00:00.0/2022-01-12T00:00:00.0;4581.1235;2927.7690;1686.3331;1241.4359;4080.3452;2371.4700;977.7903;1393.6798;2335.2964;0.9809
2022-01-12T00:00:00.0/2022-01-13T00:00:00.0;4610.8340;3197.6758;2294.4082;903.2676;5754.8037;2256.1199;879.0939;1377.0260;2023.8003;0.9806
2022-01-13T00:00:00.0/2022-01-14T00:00:00.0;4641.8447;3164.0046;2310.5815;853.4231;5775.3062;1537.0936;291.2109;1245.8827;786.4261;0.9802
2022-01-14T00:00:00.0/2022-01-15T00:00:00.0;4674.0552;3095.4397;2128.2705;967.1693;5232.2461;813.5180;35.6539;777.8642;102.4420;0.9795
