# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 38.9407
# Longitude (positive East, ISO 19115): -8.1641
# Altitude (m): 130.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 1 month 0 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2026-03-29
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-01-01T00:00:00.0/2022-02-01T00:00:00.0;138007.3594;95381.7734;72365.6641;23016.1113;190802.0000;86003.6094;59030.8711;26972.7422;154653.2656;0.9799
2022-02-01T00:00:00.0/2022-03-01T00:00:00.0;165790.8906;116923.7031;88648.5469;28275.1562;190953.3906;98941.4219;64569.0234;34372.4023;141872.7500;0.9813
2022-03-01T00:00:00.0/2022-04-01T00:00:00.0;244162.5781;173634.6094;128838.5938;44796.0117;227859.4062;114094.8906;53383.0938;60711.8008;100621.8516;0.9812
2022-04-01T00:00:00.0/2022-05-01T00:00:00.0;292584.3125;221291.9531;183366.6406;37925.3086;290134.3125;184510.1094;126467.1328;58042.9727;202761.2500;0.9817
2022-05-01T00:00:00.0/2022-06-01T00:00:00.0;342212.2500;253514.0000;205699.7188;47814.2812;303683.6562;215681.9531;146202.8594;69479.0938;220982.8125;0.9799
2022-06-01T00:00:00.0/2022-07-01T00:00:00.0;346531.9375;255912.5312;207428.5156;48484.0117;300144.1562;212911.7656;140957.7344;71954.0391;209769.9062;0.9798
2022-07-01T00:00:00.0/2022-08-01T00:00:00.0;348491.8125;257360.6250;207339.4688;50021.1602;301502.8750;242807.8594;185953.3125;56854.5430;270190.1250;0.9800
2022-08-01T00:00:00.0/2022-09-01T00:00:00.0;314749.0625;236435.7031;200256.1406;36179.5586;308382.4688;223771.2969;181998.1406;41773.1602;278115.8438;0.9817
2022-09-01T00:00:00.0/2022-10-01T00:00:00.0;254196.5312;186357.4844;154654.6562;31702.8281;263781.4688;158655.4219;110988.5938;47666.8281;189412.5938;0.9820
2022-10-01T00:00:00.0/2022-11-01T00:00:00.0;201737.6719;139217.1719;101915.5859;37301.5859;202151.5781;110447.7266;65867.4766;44580.2461;126662.9297;0.9813
2022-11-01T00:00:00.0/2022-12-01T00:00:00.0;144195.1250;100383.2422;77383.9766;22999.2637;191285.3750;71818.0391;43450.3008;28367.7402;110511.9453;0.9806
2022-12-01T00:00:00.0/2023-01-01T00:00:00.0;123958.7109;83097.7656;59808.2461;23289.5137;166482.0156;53457.0742;24358.2109;29098.8633;71804.2109;0.9785
2023-01-01T00:00:00.0/2023-02-01T00:00:00.0;137742.4062;97492.2656;76837.1172;20655.1445;202977.7969;82612.6562;56818.5742;25794.0859;150072.0938;0.9794
2023-02-01T00:00:00.0/2023-03-01T00:00:00.0;165368.0000;116152.1250;86616.8750;29535.2480;188135.8125;102611.6094;66937.0391;35674.5703;147065.4062;0.9814
2023-03-01T00:00:00.0/2023-04-01T00:00:00.0;243657.2188;180356.4219;143986.4062;36370.0156;257557.6562;146582.7812;91872.7891;54709.9961;166714.2500;0.9804
2023-04-01T00:00:00.0/2023-05-01T00:00:00.0;292196.5312;220767.7031;181304.3906;39463.3203;287623.1250;204201.9375;154564.7031;49637.2305;243967.1250;0.9819
2023-05-01T00:00:00.0/2023-06-01T00:00:00.0;341989.7812;252070.4844;198812.4375;53258.0430;291571.7188;210747.1875;136747.0938;74000.0859;203732.9062;0.9800
2023-06-01T00:00:00.0/2023-07-01T00:00:00.0;346510.0000;251107.0469;196503.6094;54603.4414;279716.4688;217615.0938;144540.9688;73074.1250;206433.2031;0.9799
2023-07-01T00:00:00.0/2023-08-01T00:00:00.0;348664.5312;263618.2188;224167.0625;39451.1758;330092.0000;255695.2344;209306.3906;46388.8477;308891.1562;0.9805
2023-08-01T00:00:00.0/2023-09-01T00:00:00.0;315096.3438;233961.7969;194985.3906;38976.4023;298620.0625;229673.3750;187290.8750;42382.4961;285128.5312;0.9818
2023-09-01T00:00:00.0/2023-10-01T00:00:00.0;254647.7344;185996.5938;150981.7188;35014.8828;257001.1250;153808.7344;99865.1484;53943.5859;172544.4219;0.9822
2023-10-01T00:00:00.0/2023-11-01T00:00:00.0;202213.2969;142404.8281;106875.6172;35529.2109;211665.7344;104214.2891;62938.2969;41275.9922;121721.1484;0.9815
2023-11-01T00:00:00.0/2023-12-01T00:00:00.0;144513.0938;100641.0312;77055.7188;23585.3145;191149.7188;71896.9844;40377.2695;31519.7109;100835.4297;0.9805
2023-12-01T00:00:00.0/2024-01-01T00:00:00.0;124009.5469;85749.3828;66911.7734;18837.6113;190819.5469;66685.5391;42503.6641;24181.8730;124096.0312;0.9784
2024-01-01T00:00:00.0/2024-02-01T00:00:00.0;137486.9375;94023.8125;70867.3828;23156.4258;186811.9844;70073.8281;41050.9102;29022.9180;110800.4219;0.9795
2024-02-01T00:00:00.0/2024-03-01T00:00:00.0;171783.4688;121870.6406;92557.2578;29313.3887;198934.3594;94592.6328;57316.5938;37276.0391;126605.1562;0.9814
2024-03-01T00:00:00.0/2024-04-01T00:00:00.0;245239.3438;174530.1562;126383.5703;48146.5859;223215.5000;123317.8438;57649.7617;65668.0859;106052.8594;0.9818
2024-04-01T00:00:00.0/2024-05-01T00:00:00.0;293415.9062;219843.5938;178547.9062;41295.6875;281691.1250;186577.6562;130227.2109;56350.4531;207463.3594;0.9794
2024-05-01T00:00:00.0/2024-06-01T00:00:00.0;342693.3438;261067.5312;219668.9844;41398.5469;328400.9375;223511.0625;158955.7500;64555.3125;241700.6875;0.9795
2024-06-01T00:00:00.0/2024-07-01T00:00:00.0;346582.4375;255817.5625;204917.5781;50899.9766;296039.9688;202749.6094;136121.6250;66627.9922;200101.4688;0.9797
2024-07-01T00:00:00.0/2024-08-01T00:00:00.0;348122.1250;261613.5469;222564.4219;39049.1172;327893.5000;251765.6406;209690.0625;42075.5742;306913.5312;0.9805
2024-08-01T00:00:00.0/2024-09-01T00:00:00.0;314005.9375;236293.5625;201075.5781;35217.9922;310260.5000;230830.6719;192640.6406;38190.0312;294485.7812;0.9784
2024-09-01T00:00:00.0/2024-10-01T00:00:00.0;253232.6875;185366.8750;150372.6094;34994.2695;256972.9375;165970.6250;122996.0625;42974.5547;210950.5938;0.9825
2024-10-01T00:00:00.0/2024-11-01T00:00:00.0;200719.6250;141414.0312;108650.8828;32763.1484;219026.4062;101310.9375;54261.0859;47049.8516;114990.7422;0.9815
2024-11-01T00:00:00.0/2024-12-01T00:00:00.0;143509.2656;97517.4844;72487.0234;25030.4629;177804.8594;73556.8047;41748.0234;31808.7773;104076.8750;0.9805
2024-12-01T00:00:00.0/2025-01-01T00:00:00.0;123850.2812;85771.5781;67544.9219;18226.6582;193475.4219;78040.9062;56464.9023;21576.0039;162727.2812;0.9785
2025-01-01T00:00:00.0/2025-02-01T00:00:00.0;138305.8281;96846.6953;74383.5469;22463.1484;195454.9375;67657.8125;41378.1211;26279.6914;113335.8125;0.9792
2025-02-01T00:00:00.0/2025-03-01T00:00:00.0;166269.4688;118696.2109;91738.0391;26958.1758;198140.5312;83394.4062;44079.9883;39314.4141;101111.3672;0.9809
2025-03-01T00:00:00.0/2025-04-01T00:00:00.0;244735.6719;181088.9688;142995.4688;38093.5000;255681.0938;133851.7500;82695.8281;51155.9219;146570.3594;0.9813
2025-04-01T00:00:00.0/2025-05-01T00:00:00.0;293027.0938;217210.8906;171121.5000;46089.3945;268258.6875;155914.2344;90645.0781;65269.1562;147105.3594;0.9808
2025-05-01T00:00:00.0/2025-06-01T00:00:00.0;342470.6562;257822.1094;211784.6875;46037.4219;313042.3750;220668.3906;153165.6562;67502.7422;232062.6719;0.9792
2025-06-01T00:00:00.0/2025-07-01T00:00:00.0;346561.7188;251939.5000;192145.2656;59794.2383;272064.6562;224992.2500;150449.2656;74542.9844;213607.8281;0.9801
2025-07-01T00:00:00.0/2025-08-01T00:00:00.0;348293.8750;261347.8125;219918.5312;41429.2734;322361.7500;244971.8438;196249.3594;48722.4883;288554.1562;0.9808
2025-08-01T00:00:00.0/2025-09-01T00:00:00.0;314344.4375;229067.8906;180252.9219;48814.9609;271295.9062;221145.7344;166743.7188;54402.0195;249270.5625;0.9822
2025-09-01T00:00:00.0/2025-10-01T00:00:00.0;253669.1250;187295.1719;154466.3438;32828.8320;263773.5000;164606.1406;122224.4062;42381.7266;211331.2031;0.9817
2025-10-01T00:00:00.0/2025-11-01T00:00:00.0;201181.6875;143029.7500;114322.2891;28707.4648;229916.1875;122397.1562;84896.2578;37500.8984;168333.0000;0.9819
2025-11-01T00:00:00.0/2025-12-01T00:00:00.0;143822.0156;101356.4062;80191.5156;21164.8906;200958.4531;74746.5703;45627.7852;29118.7852;118902.3516;0.9785
2025-12-01T00:00:00.0/2026-01-01T00:00:00.0;123898.9844;84641.1406;63914.9375;20726.2031;181346.8906;61629.2422;34556.2344;27073.0059;99090.7422;0.9785
