station_id,location_name,inicio,fim,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
6212126,Esposende (CIM),2022-01-01,2022-01-02,3570.5073,2347.449,1749.3141,598.1348,5315.3843,1732.2429,793.3128,938.9301,2551.7673,0.9781
6212126,Esposende (CIM),2022-01-02,2022-01-03,3587.0872,2343.0464,1623.9132,719.1332,4857.9209,1818.2681,689.4386,1128.8295,2182.0696,0.9774
6212126,Esposende (CIM),2022-01-03,2022-01-04,3605.0312,2244.3943,1392.8215,851.5728,4108.4883,448.1526,6.7256,441.4271,50.7045,0.9774
6212126,Esposende (CIM),2022-01-04,2022-01-05,3624.3989,2454.7937,1745.0922,709.7014,5329.4678,1628.1012,826.7584,801.3428,2511.9792,0.9771
6212126,Esposende (CIM),2022-01-05,2022-01-06,3645.176,2366.946,1475.2018,891.7443,4338.1113,776.9192,168.3258,608.5934,691.6717,0.9764
6212126,Esposende (CIM),2022-01-06,2022-01-07,3667.3052,2392.1252,1576.087,816.0382,4634.7363,1243.3967,279.4638,963.9329,943.9631,0.976
6212126,Esposende (CIM),2022-01-07,2022-01-08,3690.8022,2597.5793,2055.8938,541.6855,6199.083,2597.5793,2055.8938,541.6855,6199.083,0.9757
6212126,Esposende (CIM),2022-01-08,2022-01-09,3715.6572,2545.0498,1805.4802,739.5698,5350.2817,1660.0609,402.9425,1257.1184,1416.5582,0.9753
6212126,Esposende (CIM),2022-01-09,2022-01-10,3741.8594,2421.5281,1600.7782,820.75,4645.9956,788.3589,8.7711,779.5878,27.8186,0.975
6212126,Esposende (CIM),2022-01-10,2022-01-11,3769.3967,2600.3413,1995.4963,604.8448,5910.27,1399.0269,298.2249,1100.802,1057.3888,0.9747
6212126,Esposende (CIM),2022-01-11,2022-01-12,3798.2969,2637.9663,2178.125,459.8415,6550.2612,2637.9663,2178.125,459.8415,6550.2612,0.9792
6212126,Esposende (CIM),2022-01-12,2022-01-13,3828.4868,2717.2493,2300.5664,416.6829,6948.8774,2717.2493,2300.5664,416.6829,6948.8774,0.9792
6212126,Esposende (CIM),2022-01-13,2022-01-14,3859.9744,2757.8679,2319.1936,438.6743,6955.4233,2757.8679,2319.1936,438.6743,6955.4233,0.9785
6212126,Esposende (CIM),2022-01-14,2022-01-15,3892.7878,2724.1704,2206.7117,517.4587,6494.4175,2724.1704,2206.7117,517.4587,6494.4175,0.9778
6212126,Esposende (CIM),2022-01-15,2022-01-16,3926.8523,2692.886,2127.4392,565.447,6184.583,2124.4949,1082.6644,1041.8304,3365.7,0.9774
6212126,Esposende (CIM),2022-01-16,2022-01-17,3962.2471,2508.2769,1595.6744,912.6023,4431.2188,2144.8125,1029.8695,1114.943,2904.5034,0.9816
6212126,Esposende (CIM),2022-01-17,2022-01-18,3998.8445,2679.5686,2004.8123,674.7563,5689.4868,2655.1821,1964.243,690.9391,5556.2285,0.976
6212126,Esposende (CIM),2022-01-18,2022-01-19,4036.7021,2803.3198,2248.2981,555.0216,6432.144,2800.3965,2244.3691,556.0273,6418.3711,0.9806
6212126,Esposende (CIM),2022-01-19,2022-01-20,4075.7595,2883.9587,2339.0928,544.8658,6642.8408,2879.5339,2332.0151,547.5187,6618.2227,0.9802
6212126,Esposende (CIM),2022-01-20,2022-01-21,4116.0542,2880.0312,2308.5073,571.5237,6517.3696,2875.7527,2302.0667,573.686,6495.1577,0.9795
6212126,Esposende (CIM),2022-01-21,2022-01-22,4157.5449,2954.4771,2478.1453,476.3318,6984.3164,2846.7222,2259.2043,587.5178,6449.0552,0.9792
6212126,Esposende (CIM),2022-01-22,2022-01-23,4200.2305,2998.4507,2483.5952,514.8553,6952.3491,2998.4507,2483.5952,514.8553,6952.3491,0.9781
6212126,Esposende (CIM),2022-01-23,2022-01-24,4244.0693,3021.73,2451.9705,569.7597,6850.8354,3021.73,2451.9705,569.7597,6850.8354,0.9774
6212126,Esposende (CIM),2022-01-24,2022-01-25,4289.0454,3041.4702,2463.366,578.1043,6808.2241,3041.4702,2463.366,578.1043,6808.2241,0.9767
6212126,Esposende (CIM),2022-01-25,2022-01-26,4335.1582,3049.5574,2448.9722,600.5854,6653.2207,3046.9573,2448.6147,598.3426,6651.9023,0.976
6212126,Esposende (CIM),2022-01-26,2022-01-27,4382.3887,3116.6716,2568.3872,548.2843,6923.3477,3100.0249,2543.688,556.3369,6825.0264,0.9753
6212126,Esposende (CIM),2022-01-27,2022-01-28,4430.7026,2968.5566,2140.4321,828.1246,5565.8687,2965.9819,2137.481,828.5009,5555.2256,0.9799
6212126,Esposende (CIM),2022-01-28,2022-01-29,4480.0796,3369.4392,2882.5344,486.9046,7787.4165,3369.4392,2882.5344,486.9046,7787.4165,0.9792
6212126,Esposende (CIM),2022-01-29,2022-01-30,4530.5464,3299.4729,2671.718,627.755,7048.418,3293.8005,2663.5276,630.2731,7022.8945,0.9781
6212126,Esposende (CIM),2022-01-30,2022-01-31,4582.0088,3052.2285,2131.3545,920.874,5386.3965,2793.4966,1674.4429,1119.0538,4083.2805,1.0
6212126,Esposende (CIM),2022-01-31,2022-02-01,4634.4712,3195.5613,2414.4307,781.1307,6112.9106,3187.9004,2403.176,784.7245,6078.6899,0.9823
6212126,Esposende (CIM),2022-02-01,2022-02-02,4687.9482,3275.3486,2717.6348,557.7139,7022.2007,3275.3486,2717.6348,557.7139,7022.2007,0.9809
6212126,Esposende (CIM),2022-02-02,2022-02-03,4742.3633,3379.8296,2808.574,571.2557,7257.0713,3379.8296,2808.574,571.2557,7257.0713,0.9802
6212126,Esposende (CIM),2022-02-03,2022-02-04,4797.709,3100.4575,1939.0471,1161.4103,4698.0635,2547.2485,929.9974,1617.2511,2266.2517,0.9795
6212126,Esposende (CIM),2022-02-04,2022-02-05,4853.9595,3109.5364,1977.8816,1131.6549,4782.4238,2488.6487,956.428,1532.2206,2095.7649,0.9788
6212126,Esposende (CIM),2022-02-05,2022-02-06,4911.1406,3487.7622,2853.2322,634.53,7156.1357,3487.7622,2853.2322,634.53,7156.1357,0.9778
6212126,Esposende (CIM),2022-02-06,2022-02-07,4969.1509,3610.95,3049.9434,561.0065,7674.6558,3606.2683,3042.3606,563.908,7647.314,0.9719
6212126,Esposende (CIM),2022-02-07,2022-02-08,5027.9917,3678.24,3116.9661,561.2739,7781.6475,3678.24,3116.9661,561.2739,7781.6475,0.9764
6212126,Esposende (CIM),2022-02-08,2022-02-09,5087.6738,3746.8572,3211.7981,535.059,7962.5054,3746.8572,3211.7981,535.059,7962.5054,0.9809
6212126,Esposende (CIM),2022-02-09,2022-02-10,5148.1665,3376.864,2227.7681,1149.0959,5111.7393,3354.8311,2199.8389,1154.9922,4981.106,0.9795
6212126,Esposende (CIM),2022-02-10,2022-02-11,5209.3799,2970.5481,1318.3439,1652.2042,2902.4028,2187.4004,631.9916,1555.4088,1270.3376,0.9788
6212126,Esposende (CIM),2022-02-11,2022-02-12,5271.3213,3370.3096,2000.8118,1369.4978,4460.6465,3091.7266,1627.9971,1463.7295,3455.2603,0.9833
6212126,Esposende (CIM),2022-02-12,2022-02-13,5334.0083,3631.79,2533.8547,1097.9352,5829.7197,3037.8342,1501.7152,1536.119,3828.9944,0.9903
6212126,Esposende (CIM),2022-02-13,2022-02-14,5397.3994,3633.7651,2297.842,1335.9231,5243.3271,711.9391,85.617,626.3221,370.8554,0.9812
6212126,Esposende (CIM),2022-02-14,2022-02-15,5461.4087,3846.7708,2643.6316,1203.139,5915.5103,3503.9102,2147.1133,1356.7968,4759.6211,0.9806
6212126,Esposende (CIM),2022-02-15,2022-02-16,5526.042,3858.708,2675.1697,1183.5382,5911.813,2555.1414,863.5662,1691.5751,2089.563,0.9799
6212126,Esposende (CIM),2022-02-16,2022-02-17,5591.3755,3750.751,2395.5198,1355.2311,5250.9941,1747.6093,104.8861,1642.7231,224.5879,0.9785
6212126,Esposende (CIM),2022-02-17,2022-02-18,5657.2227,4025.4124,3207.0742,818.338,7285.0762,2790.3843,1246.5953,1543.7888,2424.3813,0.9781
6212126,Esposende (CIM),2022-02-18,2022-02-19,5723.6558,4023.2764,3032.9473,990.3291,6666.6582,2280.0271,452.0534,1827.9738,1362.9814,0.9767
6212126,Esposende (CIM),2022-02-19,2022-02-20,5790.5972,4270.1816,3619.0786,651.103,8192.1904,4252.6367,3585.1162,667.5203,8103.873,0.9812
6212126,Esposende (CIM),2022-02-20,2022-02-21,5858.0757,4161.4712,3346.8967,814.5746,7376.0688,3970.8423,2920.3491,1050.4933,6304.0303,0.9802
6212126,Esposende (CIM),2022-02-21,2022-02-22,5926.0557,4285.6089,3587.1636,698.4452,7936.9678,4218.5728,3419.134,799.4389,7517.2085,0.9792
6212126,Esposende (CIM),2022-02-22,2022-02-23,5994.4443,4467.1519,3868.4211,598.7306,8633.5928,4467.1519,3868.4211,598.7306,8633.5928,0.9837
6212126,Esposende (CIM),2022-02-23,2022-02-24,6063.3042,4400.9473,3632.4937,768.4537,7917.0469,3612.4626,1759.0994,1853.3634,4115.2437,0.9826
6212126,Esposende (CIM),2022-02-24,2022-02-25,6132.5244,4322.1226,3270.5054,1051.6173,6936.5811,2418.6414,276.5797,2142.0618,622.9388,0.9819
6212126,Esposende (CIM),2022-02-25,2022-02-26,6202.2139,4497.6543,3653.7993,843.8549,7727.0933,4229.0996,3096.9119,1132.1879,6230.0596,0.9806
6212126,Esposende (CIM),2022-02-26,2022-02-27,6272.1724,4198.4624,2830.3965,1368.0657,5800.6016,2498.7527,887.136,1611.6166,1962.6053,0.9802
6212126,Esposende (CIM),2022-02-27,2022-02-28,6342.4976,4582.2769,3630.1677,952.1093,7593.2524,4223.9468,2970.4089,1253.5377,6550.9844,0.9788
6212126,Esposende (CIM),2022-02-28,2022-03-01,6413.0688,4363.6001,3101.8989,1261.7012,6299.9824,3244.572,939.1602,2305.4116,2192.1426,0.9781
6212126,Esposende (CIM),2022-03-01,2022-03-02,6483.9585,4532.3989,3451.8733,1080.5256,7002.0366,1313.1599,97.2327,1215.9272,455.8658,0.9823
6212126,Esposende (CIM),2022-03-02,2022-03-03,6555.1245,4579.4512,3342.2288,1237.2223,6680.0347,2007.1129,179.8916,1827.2214,407.1562,0.9809
6212126,Esposende (CIM),2022-03-03,2022-03-04,6626.4409,4855.7559,3781.9602,1073.7957,7655.0889,4282.4834,2954.1631,1328.3204,5684.0796,0.9802
6212126,Esposende (CIM),2022-03-04,2022-03-05,6697.9736,5058.8755,4314.6572,744.2179,8841.0703,4865.9668,3910.2791,955.6876,8144.2646,0.9792
6212126,Esposende (CIM),2022-03-05,2022-03-06,6769.6245,4922.3564,3920.0161,1002.3402,7891.2393,3184.2954,927.5881,2256.7073,2144.7097,0.9837
6212126,Esposende (CIM),2022-03-06,2022-03-07,6841.4561,5176.5547,4484.7959,691.7592,9111.3418,3840.3428,2058.1702,1782.1727,4053.6619,0.9826
6212126,Esposende (CIM),2022-03-07,2022-03-08,6913.417,5091.6084,4182.6953,908.9131,8256.5498,3759.8999,2267.0012,1492.8986,4557.5728,0.9812
6212126,Esposende (CIM),2022-03-08,2022-03-09,6985.4009,4953.1533,3319.2292,1633.9238,6299.9868,4418.3247,2555.4773,1862.8475,4855.5913,0.9809
6212126,Esposende (CIM),2022-03-09,2022-03-10,7057.4736,4872.1074,3101.5789,1770.5286,5970.7891,1478.5625,74.3338,1404.2288,143.4692,0.9795
6212126,Esposende (CIM),2022-03-10,2022-03-11,7129.5645,5106.4844,3855.667,1250.8176,7317.0244,2358.3667,364.4492,1993.9176,705.8373,0.9785
6212126,Esposende (CIM),2022-03-11,2022-03-12,7201.6343,5225.3145,3751.397,1473.9175,6971.5171,3586.3494,1282.189,2304.1604,2449.6223,0.9778
6212126,Esposende (CIM),2022-03-12,2022-03-13,7273.7148,5012.8359,3248.7627,1764.0735,5974.3584,1466.528,43.2129,1423.3151,103.3952,0.9819
6212126,Esposende (CIM),2022-03-13,2022-03-14,7345.7422,5279.8726,3667.2134,1612.6592,6663.4023,2725.5762,566.4957,2159.0806,1028.7194,0.9809
6212126,Esposende (CIM),2022-03-14,2022-03-15,7417.6782,5350.8823,4254.7427,1096.1398,8016.2422,1646.9629,56.2128,1590.7501,224.6897,0.9802
6212126,Esposende (CIM),2022-03-15,2022-03-16,7489.6021,4379.5229,1958.996,2420.5266,3432.2903,3970.1853,1618.9905,2351.1948,2599.7361,0.984
6212126,Esposende (CIM),2022-03-16,2022-03-17,7561.3682,4701.395,2404.4255,2296.9692,4168.647,2379.1545,197.004,2182.1506,361.5823,0.983
6212126,Esposende (CIM),2022-03-17,2022-03-18,7632.9731,5651.1855,4665.7793,985.4062,8517.2949,2835.208,232.1885,2603.0195,555.497,0.9823
6212126,Esposende (CIM),2022-03-18,2022-03-19,7704.4575,5606.7578,4612.604,994.1539,8453.4141,5606.7578,4612.604,994.1539,8453.4141,0.9816
6212126,Esposende (CIM),2022-03-19,2022-03-20,7775.7573,5596.1753,4390.5933,1205.5819,7954.6523,4520.5366,2969.78,1550.7567,5364.0132,0.9802
6212126,Esposende (CIM),2022-03-20,2022-03-21,7846.8281,5454.6348,3890.2002,1564.4348,6823.0112,2045.2483,205.6402,1839.6082,774.1433,0.9795
6212126,Esposende (CIM),2022-03-21,2022-03-22,7917.7212,5830.5107,4909.2998,921.2109,8958.7832,3932.6011,2209.7537,1722.8474,3427.1331,0.9785
6212126,Esposende (CIM),2022-03-22,2022-03-23,7988.3682,5702.7422,4376.3687,1326.3737,7816.5933,1912.1075,183.2869,1728.8207,549.0336,0.9722
6212126,Esposende (CIM),2022-03-23,2022-03-24,8058.7188,5893.3311,5034.3608,858.9702,9055.958,2468.2544,554.7133,1913.5411,1605.2249,0.9819
6212126,Esposende (CIM),2022-03-24,2022-03-25,8128.8789,5935.8911,4939.1792,996.712,8779.1865,5010.5244,3427.6941,1582.8306,5254.8086,0.9806
6212126,Esposende (CIM),2022-03-25,2022-03-26,8198.6973,5399.1699,3364.8652,2034.3048,5572.9424,2464.1794,213.0318,2251.1477,336.2286,0.9795
6212126,Esposende (CIM),2022-03-26,2022-03-27,8268.1533,5659.2178,3847.5142,1811.7037,6482.3164,3131.3347,318.1281,2813.2065,541.7817,0.984
6212126,Esposende (CIM),2022-03-27,2022-03-28,8337.3213,5603.6084,3518.864,2084.7444,5817.3584,5357.8193,3051.4116,2306.4077,5100.3486,0.983
6212126,Esposende (CIM),2022-03-28,2022-03-29,8406.124,5793.7031,4005.6321,1788.0712,6692.8921,3722.1912,1055.4626,2666.7285,1932.3296,0.9823
6212126,Esposende (CIM),2022-03-29,2022-03-30,8474.5391,5667.8286,3559.0964,2108.7324,5838.4316,5667.8286,3559.0964,2108.7324,5838.4316,0.9809
6212126,Esposende (CIM),2022-03-30,2022-03-31,8542.5303,6083.5762,4455.3091,1628.2673,7526.6992,6047.7583,4386.1846,1661.5735,7361.5713,0.9802
6212126,Esposende (CIM),2022-03-31,2022-04-01,8610.1387,6404.936,5143.2949,1261.6409,8753.0518,5613.5464,3710.7783,1902.7682,6035.4893,0.9792
6212126,Esposende (CIM),2022-04-01,2022-04-02,8677.3008,6720.4824,5862.5835,857.8989,10279.9229,6720.4824,5862.5835,857.8989,10279.9229,0.9781
