# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 38.7618
# Longitude (positive East, ISO 19115): -9.1254
# Altitude (m): 109.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2026-03-29
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-01-01T00:00:00.0/2022-01-02T00:00:00.0;4044.8560;2793.5454;2188.6768;604.8688;6179.7495;2294.0369;1041.7529;1252.2839;3218.1101;0.9823
2022-01-02T00:00:00.0/2022-01-03T00:00:00.0;4061.3911;2572.6316;1636.4576;936.1739;4487.1313;1142.5824;89.4696;1053.1128;274.3318;0.9823
2022-01-03T00:00:00.0/2022-01-04T00:00:00.0;4079.3071;2714.0593;1940.4333;773.6258;5338.7490;1212.4049;114.9995;1097.4055;529.3526;0.9816
2022-01-04T00:00:00.0/2022-01-05T00:00:00.0;4098.5972;2807.0264;2070.2126;736.8136;5645.6025;2006.1212;1161.1272;844.9941;3192.8423;0.9812
2022-01-05T00:00:00.0/2022-01-06T00:00:00.0;4119.2466;2755.6133;1839.8075;915.8058;4926.8438;2104.8984;756.7444;1348.1539;2263.7073;0.9809
2022-01-06T00:00:00.0/2022-01-07T00:00:00.0;4141.2295;2791.8418;1887.6913;904.1506;5117.9741;2059.9568;795.2523;1264.7045;2505.7566;0.9809
2022-01-07T00:00:00.0/2022-01-08T00:00:00.0;4164.5977;2995.3088;2494.7373;500.5716;6999.5913;2995.3088;2494.7373;500.5716;6999.5913;0.9806
2022-01-08T00:00:00.0/2022-01-09T00:00:00.0;4189.3032;3080.2637;2561.8035;518.4603;7193.1455;2775.3210;1891.8341;883.4869;5355.3369;0.9802
2022-01-09T00:00:00.0/2022-01-10T00:00:00.0;4215.3340;2916.0823;2210.0535;706.0287;5999.8496;1862.4365;646.1204;1216.3162;1870.8301;0.9799
2022-01-10T00:00:00.0/2022-01-11T00:00:00.0;4242.6777;3027.2275;2411.6362;615.5914;6581.2188;1470.8462;423.9409;1046.9054;1304.2119;0.9795
2022-01-11T00:00:00.0/2022-01-12T00:00:00.0;4271.3213;3018.7805;2472.7568;546.0237;6791.3540;2745.3823;1991.3297;754.0527;5076.5190;0.9792
2022-01-12T00:00:00.0/2022-01-13T00:00:00.0;4301.2847;3041.4133;2523.4622;517.9512;6922.1001;2997.2117;2444.1790;553.0326;6609.2651;0.9785
2022-01-13T00:00:00.0/2022-01-14T00:00:00.0;4332.5024;3112.2651;2555.7209;556.5441;6929.1758;3038.4199;2424.8909;613.5292;6481.3184;0.9781
2022-01-14T00:00:00.0/2022-01-15T00:00:00.0;4364.9771;3053.6260;2380.0229;673.6029;6377.1602;2703.5750;1734.6006;968.9744;4383.3486;0.9781
