# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 37.1492
# Longitude (positive East, ISO 19115): -8.5814
# Altitude (m): -1.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2026-03-31
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-01-01T00:00:00.0/2022-01-02T00:00:00.0;4321.6221;3042.0537;2440.0596;601.9942;6571.4849;2750.9500;1912.5382;838.4118;5230.9756;0.9788
2022-01-02T00:00:00.0/2022-01-03T00:00:00.0;4338.0371;2934.6375;2181.3711;753.2663;5770.7183;2492.9346;1571.2825;921.6520;3718.9026;0.9788
2022-01-03T00:00:00.0/2022-01-04T00:00:00.0;4355.8286;2976.6904;2312.8220;663.8683;6151.9771;2859.5105;2109.5886;749.9221;5687.7681;0.9788
2022-01-04T00:00:00.0/2022-01-05T00:00:00.0;4375.0156;2988.6462;2184.5486;804.0975;5783.9751;1912.8715;776.7054;1136.1659;2079.0825;0.9785
2022-01-05T00:00:00.0/2022-01-06T00:00:00.0;4395.5449;3019.7603;2188.0750;831.6855;5718.4043;2177.4158;912.4620;1264.9537;2775.0603;0.9781
2022-01-06T00:00:00.0/2022-01-07T00:00:00.0;4417.4224;3105.9866;2525.3484;580.6381;6714.9097;3105.9866;2525.3484;580.6381;6714.9097;0.9778
2022-01-07T00:00:00.0/2022-01-08T00:00:00.0;4440.6304;3199.9124;2664.0264;535.8860;7093.7080;3196.2537;2658.3909;537.8630;7076.3232;0.9774
2022-01-08T00:00:00.0/2022-01-09T00:00:00.0;4465.1587;3314.3333;2861.7263;452.6070;7716.5112;3314.3333;2861.7263;452.6070;7716.5112;0.9771
2022-01-09T00:00:00.0/2022-01-10T00:00:00.0;4491.0308;3282.3035;2723.3606;558.9430;7237.9780;3282.3035;2723.3606;558.9430;7237.9780;0.9816
2022-01-10T00:00:00.0/2022-01-11T00:00:00.0;4518.1714;3244.4131;2714.7761;529.6370;7186.6597;3129.9749;2511.6404;618.3347;6646.4316;0.9812
2022-01-11T00:00:00.0/2022-01-12T00:00:00.0;4546.5952;3245.0974;2733.8831;511.2144;7190.4810;2817.8479;1654.6124;1163.2356;4582.6792;0.9812
2022-01-12T00:00:00.0/2022-01-13T00:00:00.0;4576.2881;3235.1135;2674.9941;560.1194;6990.0767;3235.1135;2674.9941;560.1194;6990.0767;0.9806
2022-01-13T00:00:00.0/2022-01-14T00:00:00.0;4607.2344;3287.7969;2633.0381;654.7590;6786.9111;3263.9067;2594.5623;669.3445;6679.9253;0.9802
2022-01-14T00:00:00.0/2022-01-15T00:00:00.0;4639.4541;3210.7983;2419.4004;791.3979;6105.6147;2917.5479;1926.4948;991.0530;4912.6504;0.9795
