# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 39.4582
# Longitude (positive East, ISO 19115): -31.1301
# Altitude (m): 31.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 1 month 0 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2026-03-29
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-01-01T00:00:00.0/2022-02-01T00:00:00.0;135353.7812;92156.8594;67544.6406;24612.2207;176984.2188;63563.4805;29763.0488;33800.4297;77285.3828;0.9800
2022-02-01T00:00:00.0/2022-03-01T00:00:00.0;163641.0625;112174.9141;79877.2656;32297.6445;169657.7969;71174.6953;28603.4824;42571.2109;59852.7891;0.9808
2022-03-01T00:00:00.0/2022-04-01T00:00:00.0;242348.9844;173161.4531;129342.0234;43819.4297;228370.8750;101893.7891;35291.5703;66602.2188;63017.7852;0.9813
2022-04-01T00:00:00.0/2022-05-01T00:00:00.0;291612.5000;213499.8906;165034.8906;48464.9922;256027.0312;139602.2969;66879.9766;72722.3203;101384.2500;0.9811
2022-05-01T00:00:00.0/2022-06-01T00:00:00.0;341970.7500;251485.7344;201165.0312;50320.6992;295248.0938;149781.3125;69740.7031;80040.6094;102893.8359;0.9798
2022-06-01T00:00:00.0/2022-07-01T00:00:00.0;346647.2188;254457.8438;207499.0312;46958.8203;298914.5312;174994.2188;98943.3125;76050.9062;141131.1406;0.9785
2022-07-01T00:00:00.0/2022-08-01T00:00:00.0;348353.3750;256094.8750;216529.8594;39565.0039;317710.9062;204539.5938;136647.5625;67892.0312;198246.9688;0.9789
2022-08-01T00:00:00.0/2022-09-01T00:00:00.0;313858.0000;227417.9062;191455.0469;35962.8516;294829.7500;193923.5938;138252.3281;55671.2695;208337.8594;0.9810
2022-09-01T00:00:00.0/2022-10-01T00:00:00.0;252488.6875;179065.1406;139951.9219;39113.2305;235541.4844;133368.2656;73338.2734;60029.9883;122972.7969;0.9825
2022-10-01T00:00:00.0/2022-11-01T00:00:00.0;199299.3125;140791.0938;109078.0469;31713.0410;218828.5469;107121.5547;64388.7344;42732.8203;126570.5547;0.9808
2022-11-01T00:00:00.0/2022-12-01T00:00:00.0;141537.8438;95970.1797;67984.5703;27985.6055;166853.2969;59596.6211;26678.6152;32918.0078;65367.9727;0.9801
2022-12-01T00:00:00.0/2023-01-01T00:00:00.0;121196.4766;79801.3906;52911.1289;26890.2598;147368.2031;46521.1250;17558.1973;28962.9277;49324.4023;0.9796
2023-01-01T00:00:00.0/2023-02-01T00:00:00.0;135087.2656;91507.7188;64706.4258;26801.2891;168977.6094;57817.9961;24434.5430;33383.4531;62129.9648;0.9797
