# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 37.1492
# Longitude (positive East, ISO 19115): -8.5814
# Altitude (m): -1.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 1 month 0 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2026-03-29
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-01-01T00:00:00.0/2022-02-01T00:00:00.0;147409.1719;99232.7500;71658.4141;27574.3320;179841.8438;90613.7891;59443.4531;31170.3398;149945.4844;0.9804
2022-02-01T00:00:00.0/2022-03-01T00:00:00.0;173535.2656;120368.4453;88971.3281;31397.1094;183586.7188;104806.2422;70236.7891;34569.4531;147038.4531;0.9816
2022-03-01T00:00:00.0/2022-04-01T00:00:00.0;250754.2500;179293.6094;137228.9531;42064.6523;237416.1875;128752.6250;72371.5000;56381.1250;129846.6797;0.9820
2022-04-01T00:00:00.0/2022-05-01T00:00:00.0;296139.4688;222824.6406;184547.0938;38277.5469;286192.0938;187781.1250;129111.7578;58669.3672;204323.0156;0.9814
2022-05-01T00:00:00.0/2022-06-01T00:00:00.0;343092.0000;252235.1562;203562.8438;48672.3203;296268.2188;224302.3594;156369.5625;67932.8047;231595.0312;0.9809
2022-06-01T00:00:00.0/2022-07-01T00:00:00.0;346006.9688;254150.2969;205755.9531;48394.3359;295323.9688;227135.5312;164658.1875;62477.3398;243788.0625;0.9785
2022-07-01T00:00:00.0/2022-08-01T00:00:00.0;348649.1562;253619.5312;200437.0938;53182.4258;287324.6250;234902.5000;175058.9531;59843.5508;253807.5312;0.9800
2022-08-01T00:00:00.0/2022-09-01T00:00:00.0;317334.9062;237274.2656;199961.4219;37312.8398;304273.0312;226148.5469;185126.2344;41022.3164;283307.0312;0.9818
2022-09-01T00:00:00.0/2022-10-01T00:00:00.0;259530.1094;188865.1719;156334.6562;32530.5254;261263.3750;169176.9062;127023.8359;42153.0703;214085.0938;0.9827
2022-10-01T00:00:00.0/2022-11-01T00:00:00.0;209622.0312;142005.5938;101020.8672;40984.7344;192168.8438;114917.4688;67434.6641;47482.8047;126628.6172;0.9814
2022-11-01T00:00:00.0/2022-12-01T00:00:00.0;153053.3594;106921.2656;83392.6328;23528.6309;197485.9062;85435.2812;52678.0430;32757.2383;125437.7969;0.9808
2022-12-01T00:00:00.0/2023-01-01T00:00:00.0;133471.6875;89704.7891;64409.3047;25295.4805;169631.4688;63770.4414;32173.9785;31596.4609;86266.9375;0.9798
2023-01-01T00:00:00.0/2023-02-01T00:00:00.0;147146.7969;104308.6562;82835.1172;21473.5352;208212.1406;89446.3281;61935.0391;27511.2871;157119.6250;0.9802
2023-02-01T00:00:00.0/2023-03-01T00:00:00.0;173122.8906;118950.3438;85292.7656;33657.5820;176725.0469;94086.6484;54784.3828;39302.2617;118691.9453;0.9818
2023-03-01T00:00:00.0/2023-04-01T00:00:00.0;250270.3125;185346.5156;150620.0312;34726.4922;263690.4688;160301.9531;111857.0312;48444.9180;198563.5312;0.9811
2023-04-01T00:00:00.0/2023-05-01T00:00:00.0;295775.2812;221019.3750;180643.8125;40375.5742;280673.6250;212398.9062;162564.0938;49834.8203;252775.4062;0.9816
2023-05-01T00:00:00.0/2023-06-01T00:00:00.0;342887.7500;252135.4688;203036.2344;49099.2266;295561.0625;235159.1250;173178.3125;61980.8125;253997.4688;0.9811
2023-06-01T00:00:00.0/2023-07-01T00:00:00.0;345987.9062;250422.0469;199078.7969;51343.2539;281437.4688;225570.0469;156444.2969;69125.7422;223742.4219;0.9788
