ANO,MÊS,DIA,Viana do Castelo,Braga,Vila Real,Bragança,Porto,Aveiro,Viseu,Guarda,Coimbra,Castelo Branco,Leiria,Santarém,Portalegre,Lisboa,Setúbal,Évora,Beja,Faro
2010,1,1,-990,7709.7,3627.6,3996.4,-990,6323.3,5394.4,3942.2,7107.6,6966.4,-990,3705,4679.6,7037.9,9379.1,7952.1,9998.2,10747.1
2010,1,2,-990,3162.4,2011.2,1555.1,3655.6,2984.7,2752.7,2205.8,4225.7,2920.6,4267.9,4184.7,4556.7,3895.4,3231.8,4715.6,5336.5,1899.4
2010,1,3,-990,5527.5,3619.6,1927.2,-990,3638,2289,2192.7,3746.5,730.9,-990,2296,562.4,2881,2040.7,1267.2,1675.3,1849.5
2010,1,4,-990,1630.2,1594.4,723.8,-990,2813.1,1901.9,1899.7,2383.1,2796.3,-990,2836.2,2704.4,3524.9,3687,3047.9,-990,5787.7
2010,1,5,-990,-990,3210,3709.7,7354.1,6120.9,4260.5,5596.4,3170.6,6261.7,-990,3198.4,3489.9,4660.4,-990,4252,6242.7,7838.8
2010,1,6,-990,7793.8,7628.7,7521.8,7919.8,5507.1,6590.3,7456.6,6013.1,7185.8,-990,2716.7,2711,3540.7,-990,2150,2562.7,3611.8
2010,1,7,-990,10893.4,8688.9,8706.4,9487.2,9053.9,9659,5097.4,9059.3,6859.1,9002.7,4927.7,9584.9,10321.1,10686.6,11275.4,11917,11371.5
2010,1,8,-990,10449.7,8965.5,9166.9,9366.3,9277.2,10039.2,11111.7,9795.7,10627.3,9605.4,5240,10501.6,10137.5,10760.9,11933.5,14120,12404.4
2010,1,9,-990,10456.3,8347.7,9837.7,9384,9324.7,10104.7,10259.7,10264.4,10693.3,9902.3,4795.3,10549.6,9923.5,10262.1,11369.3,14398.6,12369.5
2010,1,10,-990,1191.8,1609.7,2436.9,1540.8,1626.5,1923.7,2703.3,3027.4,1551.3,3653.2,1117.1,2041.1,1779.4,2505.5,1336.4,3296.7,2897.4
2010,1,11,-990,6370.1,4519,4740.3,7460.3,7290.4,9393.7,5140,7460,6044.9,4355.7,3592.1,3694.2,6309.3,-990,4171.6,-990,9912.4
2010,1,12,-990,3308.2,1710.2,2157.3,2971.4,2347.3,1235.4,2424.1,1925.3,1556.8,-990,929.3,538,1472.9,1510.6,1087.5,1568.2,1448.8
2010,1,13,-990,750,1393.5,1266.2,704.3,988.2,664.6,1817.4,1140.3,1547.8,-990,1810.2,925.4,1694.6,1867.6,2181.4,2575.3,2764.7
2010,1,14,-990,6700.5,3685.7,8348.4,7232.6,6615.6,7764.1,4052.7,5426.2,6335,-990,5438.4,5701.2,7718.8,7665.8,8283.8,10661,12327.8
2010,1,15,-990,1518.8,2821.4,2776,-990,1700.6,2914.6,4202.6,2411.5,3681.3,2048.5,2429.1,3954.6,2343.1,2962.4,4354,5829.8,6968.3
2010,1,16,-990,935.4,1605.6,1887.2,-990,1490.7,1434,3157.5,1317.3,2195.1,-990,4115.8,1259.7,4232.3,4240.5,3895.3,4671.2,5520.6
2010,1,17,-990,2089.8,1743.9,2436.1,2566.9,-990,1607.5,5696.1,3502.8,5348.1,-990,4425.5,3483.1,3682,3185.5,4245.5,5034.6,6537.7
2010,1,18,-990,1828.9,894.7,998,-990,-990,2332,3589.9,3537.6,1782.1,-990,3860.9,2191.7,4853,3614.9,4275.8,3513.6,5025.5
2010,1,19,-990,5665.2,5244.7,6178.5,6370.2,7490.3,6109.3,-990,5620.7,6669.7,-990,4843.7,4331.6,7505.8,7740.9,8924.1,5306,4467.7
2010,1,20,-990,3295,4812.1,4499.9,8635.2,9396.6,8709.4,8121.2,9513.3,9807.8,-990,5099.5,8329.2,7471.1,8564.6,9136.9,8906.8,9341.5
2010,1,21,-990,3963.3,4939.5,5380.9,-990,4585.4,5721.6,-990,4278.8,6140.9,3723.1,3995.3,6366.4,7211.1,-990,7706.2,9424.6,6984.7
2010,1,22,-990,-990,3361.4,1578.5,-990,3907.4,4255.8,5064.5,4283.7,5785.6,-990,4204.1,5750.6,3312.2,3978.1,6290,7489.6,9638.3
2010,1,23,-990,-990,3708.5,2538.4,-990,5302.1,4643.5,4712.5,7192.4,6917,-990,4330.7,3902.7,5452,5879.9,4591.5,6431.9,6510.8
2010,1,24,-990,-990,7375.4,9159.6,-990,10671.5,10665.4,6268.3,8263.6,8818.7,-990,6725,5617.2,11400.5,10586.7,11286.3,12909.9,12508
2010,1,25,-990,9709.6,9171,11094.3,-990,7355.5,9384.4,10303.2,8445.7,12314.9,7987.3,6869.8,12128.4,8999.3,9261.1,12807.9,15267,12523.8
