Nome_oficial,Tipo,Longitude,Latitude,Altitude,Municipio,Distrito,Inicio de Servico
Flores / Aeroporto,Estação Automática Principal (EMA I),-31.1308,39.4573,28,Santa Cruz das Flores,Ilha das Flores,13/01/1998
Corvo / Aeroporto,Estação Automática Principal (EMA I),-31.1129,39.6708,16,Corvo,Ilha do Corvo,31/08/2002
Pico / Aeródromo,Estação Automática Principal (EMA I),-28.4433,38.5515,38,Madalena,Ilha do Pico,31/08/2002
Horta / Aeroporto,Estação Automática Principal (EMA I),-28.7128,38.5211,40,Horta,Ilha do Faial,31/05/2022
Horta / Observatório Príncipe Alberto Do Mónaco,Estação Automática Principal (EMA I),-28.6286,38.5298,55,Horta,Ilha do Faial,11/10/1997
Graciosa / Aeródromo,Estação Automática Principal (EMA I),-28.03,39.0913,23,Santa Cruz da Graciosa,Ilha da Graciosa,12/05/2002
São Jorge / Aeródromo,Estação Automática Principal (EMA I),-28.1696,38.6652,103,Velas,Ilha de São Jorge,13/09/2012
Angra Do Heroísmo / Observatório José Agostinho,Estação Automática Principal (EMA I),-27.2243,38.6599,90,Angra do Heroísmo,Ilha Terceira,01/01/1999
Ponta Delgada / Nordela,Estação Automática Principal (EMA I),-25.708,37.7442,75,Ponta Delgada,Ilha de São Miguel,01/01/1999
Santa Maria / Aeroporto,Estação Automática Principal (EMA I),-25.1728,36.9732,92,Vila do Porto,Ilha de Santa Maria,31/08/2002
Santa Catarina / Aeroporto,Estação Automática Principal (EMA I),-16.7762,32.6932,58,Santa Cruz,Ilha da Madeira (Madeira),01/12/2014
Funchal / Observatório,Estação Automática Principal (EMA I),-16.8925,32.6475,58,Funchal,Ilha da Madeira (Madeira),16/10/1997
Porto Santo / Aeroporto,Estação Automática Principal (EMA I),-16.3485,33.0715,82,Porto Santo,Ilha de Porto Santo (Madeira),01/01/1999
Cabo Carvoeiro / Farol,Estação Automática Principal (EMA I),-9.407,39.3614,30,Peniche,Leiria,09/07/1997
Sagres / Quartel Da Marinha,Estação Automática Principal (EMA I),-8.9489,37.0128,22,Vila do Bispo,Faro,08/06/1997
Lisboa / Geofísico,Estação Automática Principal (EMA I),-9.1497,38.7191,77,Lisboa,Lisboa,17/03/1999
